img,act_class,act_name
093016520.jpg,fishing and hunting,fishing from boat or canoe sitting
052758797.jpg,fishing and hunting,fishing from boat or canoe sitting
025890427.jpg,fishing and hunting,fishing from boat or canoe sitting
005282669.jpg,fishing and hunting,fishing from boat or canoe sitting
072608485.jpg,fishing and hunting,fishing from boat or canoe sitting
012130300.jpg,fishing and hunting,fishing from boat or canoe sitting
030277513.jpg,fishing and hunting,fishing from boat or canoe sitting
053247091.jpg,fishing and hunting,fishing from boat or canoe sitting
056441659.jpg,fishing and hunting,fishing from boat or canoe sitting
060058320.jpg,fishing and hunting,fishing from boat or canoe sitting
016625533.jpg,fishing and hunting,fishing from boat or canoe sitting
037973740.jpg,running,running
061719423.jpg,running,running
096981886.jpg,running,running
072763114.jpg,running,running
092260376.jpg,running,running
076221206.jpg,running,running marathon
059171697.jpg,running,running marathon
019202337.jpg,running,running marathon
066668565.jpg,running,running marathon
062337957.jpg,running,running marathon
060246917.jpg,running,running marathon
048978587.jpg,running,running
052865660.jpg,running,running
033444253.jpg,running,running
051931269.jpg,running,jogging
019755591.jpg,running,jogging
080517440.jpg,running,running
018577695.jpg,,
008496629.jpg,,
043624603.jpg,,
065830744.jpg,,
043771682.jpg,,
027675413.jpg,,
055817118.jpg,running,running
034700234.jpg,running,running stairs up
093286769.jpg,running,running
092264514.jpg,running,jogging
050237182.jpg,running,jogging
032788399.jpg,running,jogging
073713241.jpg,,
003671294.jpg,,
047476901.jpg,,
033632339.jpg,,
092053589.jpg,,
001200303.jpg,running,running
055281488.jpg,running,running
074066358.jpg,running,running
048501799.jpg,running,running
008540303.jpg,running,running
097246139.jpg,running,running
051801043.jpg,running,running
061418624.jpg,running,running
023660978.jpg,running,running
048349809.jpg,running,running
042914949.jpg,running,running
007489584.jpg,running,running
010616035.jpg,running,running
083747252.jpg,running,running
023981995.jpg,,
019495827.jpg,,
050491145.jpg,home activities,vacuuming general moderate effort
076874713.jpg,home activities,vacuuming general moderate effort
006194652.jpg,home activities,vacuuming general moderate effort
057680792.jpg,home activities,vacuuming general moderate effort
011921044.jpg,home activities,vacuuming general moderate effort
003646105.jpg,home activities,vacuuming general moderate effort
005274395.jpg,,
083416411.jpg,,
011797248.jpg,,
004515136.jpg,,
043789989.jpg,,
084399347.jpg,,
026240838.jpg,,
042171262.jpg,,
003992253.jpg,,
044907851.jpg,home activities,vacuuming general moderate effort
057761308.jpg,home activities,vacuuming general moderate effort
057090705.jpg,home activities,vacuuming general moderate effort
033242669.jpg,home activities,vacuuming general moderate effort
031553318.jpg,home activities,vacuuming general moderate effort
010662362.jpg,home activities,vacuuming general moderate effort
036679832.jpg,home activities,vacuuming general moderate effort
009949467.jpg,home activities,vacuuming general moderate effort
076659594.jpg,home activities,vacuuming general moderate effort
096627430.jpg,home activities,vacuuming general moderate effort
097007446.jpg,home activities,vacuuming general moderate effort
086507110.jpg,home activities,vacuuming general moderate effort
060079215.jpg,home activities,vacuuming general moderate effort
070086570.jpg,home activities,vacuuming general moderate effort
028520580.jpg,home activities,vacuuming general moderate effort
063077042.jpg,home activities,vacuuming general moderate effort
045564955.jpg,home activities,vacuuming general moderate effort
048201734.jpg,home activities,vacuuming general moderate effort
075777656.jpg,home activities,vacuuming general moderate effort
028191836.jpg,home activities,vacuuming general moderate effort
031803961.jpg,home activities,vacuuming general moderate effort
092464179.jpg,home activities,vacuuming general moderate effort
005622429.jpg,home activities,vacuuming general moderate effort
048563430.jpg,home activities,vacuuming general moderate effort
091280080.jpg,home activities,vacuuming general moderate effort
061036301.jpg,home activities,vacuuming general moderate effort
054640707.jpg,home activities,vacuuming general moderate effort
024974418.jpg,home activities,vacuuming general moderate effort
034327549.jpg,home activities,vacuuming general moderate effort
085204842.jpg,home activities,vacuuming general moderate effort
055921813.jpg,home activities,vacuuming general moderate effort
051474219.jpg,,
009957971.jpg,,
001602816.jpg,,
096368519.jpg,home activities,vacuuming general moderate effort
037698617.jpg,home activities,vacuuming general moderate effort
060321306.jpg,home activities,vacuuming general moderate effort
007971507.jpg,home activities,vacuuming general moderate effort
068311429.jpg,home activities,vacuuming general moderate effort
093256671.jpg,,
057566525.jpg,,
012611532.jpg,,
058172153.jpg,,
076634721.jpg,,
040641654.jpg,,
087983775.jpg,fishing and hunting,hunting general
064868295.jpg,fishing and hunting,hunting general
089924892.jpg,,
062350531.jpg,,
013128797.jpg,fishing and hunting,hunting general
030969171.jpg,fishing and hunting,hunting general
020179495.jpg,fishing and hunting,hunting general
090882650.jpg,fishing and hunting,hunting general
076040007.jpg,,
067639837.jpg,,
030096632.jpg,,
018404477.jpg,,
075645109.jpg,fishing and hunting,hunting general
047415795.jpg,fishing and hunting,hunting general
022578955.jpg,fishing and hunting,hunting general
061662198.jpg,fishing and hunting,hunting general
004033385.jpg,fishing and hunting,hunting general
032617025.jpg,miscellaneous,standing miscellaneous
046855699.jpg,inactivity quiet/light,standing quietly standing in a line
014795833.jpg,inactivity quiet/light,standing quietly standing in a line
098465448.jpg,inactivity quiet/light,standing quietly standing in a line
020909736.jpg,inactivity quiet/light,standing quietly standing in a line
013035313.jpg,inactivity quiet/light,standing quietly standing in a line
020353487.jpg,inactivity quiet/light,standing quietly standing in a line
076906113.jpg,volunteer activities,walkrun play with children moderate only active periods
042550566.jpg,inactivity quiet/light,standing quietly standing in a line
056541594.jpg,volunteer activities,walkrun play with children moderate only active periods
002100916.jpg,volunteer activities,walkrun play with children moderate only active periods
003443131.jpg,volunteer activities,walkrun play with children moderate only active periods
044582555.jpg,volunteer activities,walkrun play with children moderate only active periods
081665524.jpg,volunteer activities,walkrun play with children moderate only active periods
088523888.jpg,inactivity quiet/light,standing quietly standing in a line
008670657.jpg,inactivity quiet/light,standing quietly standing in a line
053836310.jpg,volunteer activities,walkrun play with children moderate only active periods
091322969.jpg,volunteer activities,walkrun play with children moderate only active periods
038797275.jpg,walking,pushing or pulling stroller with child or walking with children 2.5 to 3.1 mph
082956583.jpg,volunteer activities,walkrun play with children moderate only active periods
013369565.jpg,volunteer activities,walkrun play with children moderate only active periods
093539449.jpg,inactivity quiet/light,lying quietly sleeping
075142332.jpg,miscellaneous,standing talking in person
094133439.jpg,miscellaneous,standing talking in person
067661723.jpg,miscellaneous,standing miscellaneous
036340393.jpg,miscellaneous,standing talking in person
093818117.jpg,miscellaneous,standing talking in person
027556678.jpg,inactivity quiet/light,standing quietly standing in a line
033217252.jpg,occupation,standing doing work
070080842.jpg,occupation,standing doing work
076531630.jpg,occupation,standing doing work
092940348.jpg,occupation,standing doing work
020480241.jpg,occupation,standing doing work
079799804.jpg,occupation,standing doing work
073854605.jpg,,
006379456.jpg,,
038722314.jpg,,
028276546.jpg,,
030449042.jpg,,
098294688.jpg,,
064277741.jpg,,
071767616.jpg,inactivity quiet/light,standing quietly standing in a line
097661764.jpg,miscellaneous,standing talking in person
037720178.jpg,miscellaneous,standing talking in person
080184017.jpg,home activities,child care
043453096.jpg,inactivity quiet/light,standing quietly standing in a line
086953367.jpg,miscellaneous,standing miscellaneous
018065754.jpg,walking,hiking
094768618.jpg,miscellaneous,standing miscellaneous
021877171.jpg,occupation,standing doing work
032622051.jpg,occupation,standing doing work
075619223.jpg,occupation,standing doing work
039375514.jpg,occupation,standing doing work
060821138.jpg,occupation,standing doing work
044457350.jpg,occupation,standing doing work
074236994.jpg,home activities,playing with children
022833125.jpg,miscellaneous,standing talking in person
005845799.jpg,home activities,playing with children
029992940.jpg,home activities,playing with children
047430866.jpg,home activities,playing with children
016802005.jpg,home activities,playing with children
035479729.jpg,home activities,playing with children
039998302.jpg,home activities,playing with children
005739184.jpg,home activities,playing with children
058330725.jpg,home activities,playing with children
088434343.jpg,water activities,surfing
015174291.jpg,water activities,surfing
059780801.jpg,water activities,surfing
066473920.jpg,water activities,surfing
041933468.jpg,water activities,surfing
070109759.jpg,miscellaneous,reading
041073154.jpg,miscellaneous,standing miscellaneous
050463729.jpg,miscellaneous,standing miscellaneous
000735304.jpg,inactivity quiet/light,standing quietly standing in a line
069172011.jpg,,
066134268.jpg,,
003840088.jpg,,
036825011.jpg,,
097903184.jpg,,
042073656.jpg,home activities,scrubbing floors
050194541.jpg,home activities,scrubbing floors
090993016.jpg,home activities,scrubbing floors
071726188.jpg,home activities,scrubbing floors
058207013.jpg,home activities,scrubbing floors
079780468.jpg,home activities,scrubbing floors
086436627.jpg,home activities,scrubbing floors
045688807.jpg,home activities,scrubbing floors
047510836.jpg,home activities,mopping standing light effort
038605094.jpg,home activities,mopping standing light effort
096670614.jpg,home activities,mopping standing light effort
069716625.jpg,home activities,cleaning general
008322307.jpg,home activities,cleaning general
086295962.jpg,home activities,cleaning general
048055994.jpg,home activities,cleaning general
006875391.jpg,home activities,cleaning general
054971726.jpg,home activities,cleaning general
041716428.jpg,home activities,cleaning general
087774940.jpg,home activities,cleaning general
020399460.jpg,home activities,cleaning general
082646461.jpg,home activities,cleaning general
055768869.jpg,home activities,cleaning general
005461030.jpg,home activities,cleaning general
097184530.jpg,occupation,standing doing work
051261524.jpg,occupation,standing doing work
029087685.jpg,occupation,standing doing work
046940684.jpg,occupation,standing doing work
085785778.jpg,occupation,standing doing work
030490312.jpg,occupation,standing doing work
019267640.jpg,occupation,standing doing work
012907125.jpg,occupation,standing doing work
029785940.jpg,occupation,standing doing work
078004809.jpg,occupation,standing doing work
047162637.jpg,occupation,standing doing work
022748160.jpg,occupation,standing doing work
016618500.jpg,occupation,standing doing work
033272948.jpg,,
093992437.jpg,,
034302671.jpg,,
098812408.jpg,,
048523046.jpg,,
017916392.jpg,,
089114009.jpg,,
046035537.jpg,,
070967134.jpg,,
098371158.jpg,,
005017535.jpg,,
009669456.jpg,,
072045674.jpg,,
028182500.jpg,,
018430140.jpg,,
003936188.jpg,,
002184671.jpg,,
077448560.jpg,,
013443343.jpg,,
046772062.jpg,,
060589682.jpg,,
042835180.jpg,,
002710665.jpg,,
078350150.jpg,,
001051322.jpg,,
076188989.jpg,,
089330449.jpg,,
043283992.jpg,home activities,moving furniture household items carrying boxes
053554247.jpg,home activities,moving furniture household items carrying boxes
047698339.jpg,home activities,moving furniture household items carrying boxes
038920862.jpg,home activities,moving furniture household items carrying boxes
088742454.jpg,home activities,moving furniture household items carrying boxes
089393351.jpg,home activities,moving furniture household items carrying boxes
033581636.jpg,home activities,moving furniture household items carrying boxes
061506975.jpg,home activities,moving furniture household items carrying boxes
092690756.jpg,home activities,moving furniture household items carrying boxes
096205850.jpg,home activities,moving furniture household items carrying boxes
050895904.jpg,,
045282481.jpg,,
027869432.jpg,,
095887187.jpg,,
014281430.jpg,,
057982958.jpg,,
028255027.jpg,,
027900829.jpg,home activities,moving furniture household items carrying boxes
040496859.jpg,home activities,moving furniture household items carrying boxes
099879294.jpg,home activities,moving furniture household items carrying boxes
005496631.jpg,home activities,moving furniture household items carrying boxes
057854182.jpg,home activities,moving furniture household items carrying boxes
008257216.jpg,,
015452083.jpg,,
043956294.jpg,,
051046013.jpg,,
025879241.jpg,,
031645713.jpg,,
008696702.jpg,,
030321978.jpg,,
096655844.jpg,,
094470738.jpg,,
033487829.jpg,,
057085394.jpg,home activities,moving furniture household items carrying boxes
090959539.jpg,home activities,moving furniture household items carrying boxes
000618382.jpg,home activities,moving furniture household items carrying boxes
081068357.jpg,home activities,moving furniture household items carrying boxes
094836955.jpg,home activities,moving furniture household items carrying boxes
009132573.jpg,home activities,moving furniture household items carrying boxes
016144769.jpg,home activities,moving furniture household items carrying boxes
096074630.jpg,home activities,moving furniture household items carrying boxes
053754014.jpg,home activities,moving furniture household items carrying boxes
001419663.jpg,home activities,moving furniture household items carrying boxes
025763200.jpg,home activities,moving furniture household items carrying boxes
044994367.jpg,home activities,moving furniture household items carrying boxes
069290891.jpg,home activities,moving furniture household items carrying boxes
073316038.jpg,home activities,moving furniture household items carrying boxes
099542151.jpg,home activities,putting away groceries (e.g. carrying groceries shopping without a grocery cart) carrying packages
028751120.jpg,home activities,putting away groceries (e.g. carrying groceries shopping without a grocery cart) carrying packages
053822010.jpg,home activities,moving furniture household items carrying boxes
053332355.jpg,home activities,moving furniture household items carrying boxes
040564526.jpg,home activities,moving furniture household items carrying boxes
016916189.jpg,home activities,moving furniture household items carrying boxes
097745656.jpg,home activities,moving furniture household items carrying boxes
085331719.jpg,home activities,moving furniture household items carrying boxes
049833303.jpg,home activities,moving furniture household items carrying boxes
060324542.jpg,home activities,moving furniture household items carrying boxes
022726105.jpg,walking,walking general
054378707.jpg,walking,walking general
069497013.jpg,walking,walking general
051516703.jpg,,
099028517.jpg,,
061134166.jpg,,
037097371.jpg,,
077215203.jpg,,
017046251.jpg,,
038451581.jpg,,
034695895.jpg,,
043180710.jpg,,
078177983.jpg,,
048417303.jpg,,
079401445.jpg,,
057648890.jpg,,
034206943.jpg,,
080997874.jpg,,
023828967.jpg,,
022438298.jpg,,
050450292.jpg,,
026084925.jpg,,
000908703.jpg,,
064829753.jpg,,
051109382.jpg,walking,walking general
044551781.jpg,walking,walking general
096696851.jpg,walking,walking general
057119918.jpg,walking,walking general
086343158.jpg,conditioning exercise,Elliptical trainer moderate effort
013945024.jpg,conditioning exercise,Elliptical trainer moderate effort
056920646.jpg,conditioning exercise,Elliptical trainer moderate effort
086797963.jpg,conditioning exercise,Elliptical trainer moderate effort
058310576.jpg,conditioning exercise,Elliptical trainer moderate effort
071801418.jpg,conditioning exercise,Elliptical trainer moderate effort
037204357.jpg,conditioning exercise,Elliptical trainer moderate effort
009244952.jpg,conditioning exercise,Elliptical trainer moderate effort
045790030.jpg,conditioning exercise,Elliptical trainer moderate effort
039447939.jpg,conditioning exercise,Elliptical trainer moderate effort
086706018.jpg,,
024399530.jpg,,
096673423.jpg,,
095813812.jpg,conditioning exercise,Elliptical trainer moderate effort
024763164.jpg,conditioning exercise,Elliptical trainer moderate effort
034805196.jpg,conditioning exercise,Elliptical trainer moderate effort
089555574.jpg,conditioning exercise,Elliptical trainer moderate effort
096662222.jpg,conditioning exercise,Elliptical trainer moderate effort
044343910.jpg,conditioning exercise,Elliptical trainer moderate effort
032099705.jpg,conditioning exercise,Elliptical trainer moderate effort
052609401.jpg,,
068776921.jpg,,
027347452.jpg,,
073647317.jpg,,
005165736.jpg,,
004929449.jpg,occupation,coal mining
038628771.jpg,occupation,coal mining
035347319.jpg,,
031563322.jpg,,
049101976.jpg,,
032073358.jpg,,
019225792.jpg,,
030946955.jpg,inactivity quiet/light,standing quietly standing in a line
097490427.jpg,home activities,cleaning general
041111342.jpg,home activities,cleaning general
044471278.jpg,home activities,cleaning general
057654499.jpg,home activities,cleaning general
098334077.jpg,home activities,cleaning general
024160128.jpg,home activities,cleaning general
068128211.jpg,home activities,cleaning general
071598469.jpg,home activities,cleaning general
060732442.jpg,home activities,cleaning general
008857834.jpg,home activities,cleaning general
067687228.jpg,home activities,cleaning general
006409471.jpg,home activities,cleaning general
059614265.jpg,,
073958118.jpg,,
021096989.jpg,,
084162201.jpg,,
003035381.jpg,,
084381286.jpg,,
046032905.jpg,,
021758794.jpg,home activities,cleaning general
013377814.jpg,occupation,chambermaid hotel housekeeper making bed cleaning bathroom pushing cart
095330717.jpg,occupation,chambermaid hotel housekeeper making bed cleaning bathroom pushing cart
007266559.jpg,occupation,chambermaid hotel housekeeper making bed cleaning bathroom pushing cart
019909342.jpg,occupation,chambermaid hotel housekeeper making bed cleaning bathroom pushing cart
034782235.jpg,occupation,chambermaid hotel housekeeper making bed cleaning bathroom pushing cart
062023485.jpg,occupation,chambermaid hotel housekeeper making bed cleaning bathroom pushing cart
054480109.jpg,occupation,chambermaid hotel housekeeper making bed cleaning bathroom pushing cart
012564349.jpg,occupation,chambermaid hotel housekeeper making bed cleaning bathroom pushing cart
028972798.jpg,occupation,chambermaid hotel housekeeper making bed cleaning bathroom pushing cart
023875177.jpg,occupation,chambermaid hotel housekeeper making bed cleaning bathroom pushing cart
021354285.jpg,occupation,chambermaid hotel housekeeper making bed cleaning bathroom pushing cart
041114434.jpg,occupation,chambermaid hotel housekeeper making bed cleaning bathroom pushing cart
070403145.jpg,occupation,chambermaid hotel housekeeper making bed cleaning bathroom pushing cart
021745293.jpg,occupation,chambermaid hotel housekeeper making bed cleaning bathroom pushing cart
036667888.jpg,occupation,chambermaid hotel housekeeper making bed cleaning bathroom pushing cart
039091743.jpg,occupation,chambermaid hotel housekeeper making bed cleaning bathroom pushing cart
097645653.jpg,home activities,vacuuming general moderate effort
095466636.jpg,home activities,cleaning general
080013758.jpg,home activities,cleaning general
024165892.jpg,home activities,cleaning general
006803731.jpg,home activities,cleaning general
031690414.jpg,home activities,cleaning general
026679455.jpg,home activities,cleaning general
050592580.jpg,home activities,cleaning general
077772791.jpg,home activities,cleaning general
085832294.jpg,home activities,cleaning general
084486409.jpg,home activities,cleaning general
035967556.jpg,home activities,cleaning general
068723434.jpg,home activities,cleaning sweeping floor or carpet
031283420.jpg,home activities,cleaning sweeping floor or carpet
006090554.jpg,home activities,cleaning sweeping floor or carpet
070156527.jpg,home activities,cleaning general
000982755.jpg,,
040918259.jpg,,
032937927.jpg,,
069337754.jpg,home activities,cleaning general
076624547.jpg,home activities,cleaning general
030409464.jpg,home activities,cleaning general
081162701.jpg,home activities,cleaning general
029391676.jpg,home activities,cleaning general
044632636.jpg,home activities,cleaning general
072701853.jpg,home activities,cleaning general
069292023.jpg,occupation,orange grove work picking fruit
098736847.jpg,occupation,orange grove work picking fruit
022516102.jpg,occupation,orange grove work picking fruit
066231791.jpg,occupation,orange grove work picking fruit
060968191.jpg,occupation,orange grove work picking fruit
091509845.jpg,occupation,orange grove work picking fruit
015636214.jpg,occupation,orange grove work picking fruit
075179816.jpg,occupation,orange grove work picking fruit
056826862.jpg,occupation,orange grove work picking fruit
027466587.jpg,occupation,orange grove work picking fruit
047443491.jpg,occupation,orange grove work picking fruit
033377660.jpg,occupation,orange grove work picking fruit
057931340.jpg,occupation,orange grove work picking fruit
088900061.jpg,occupation,orange grove work picking fruit
056930498.jpg,occupation,orange grove work picking fruit
063172242.jpg,occupation,orange grove work picking fruit
051874785.jpg,occupation,orange grove work picking fruit
005116551.jpg,occupation,orange grove work picking fruit
023285856.jpg,occupation,orange grove work picking fruit
049200173.jpg,,
031023528.jpg,occupation,orange grove work picking fruit
018176360.jpg,occupation,orange grove work picking fruit
050413284.jpg,occupation,orange grove work picking fruit
032280979.jpg,,
025810764.jpg,,
046398542.jpg,occupation,orange grove work picking fruit
013328426.jpg,occupation,orange grove work picking fruit
092774573.jpg,occupation,orange grove work picking fruit
086770210.jpg,occupation,orange grove work picking fruit
070762059.jpg,home repair,sanding floors with a power sander
010621383.jpg,home repair,sanding floors with a power sander
077587725.jpg,home repair,sanding floors with a power sander
080795733.jpg,home repair,sanding floors with a power sander
076776462.jpg,home repair,sanding floors with a power sander
011396589.jpg,,
064390796.jpg,,
083432480.jpg,,
057735340.jpg,,
064640738.jpg,,
045836348.jpg,,
052870732.jpg,,
003437686.jpg,,
063896302.jpg,,
008144721.jpg,,
043501459.jpg,home repair,sanding floors with a power sander
029265510.jpg,home repair,sanding floors with a power sander
054542795.jpg,home repair,sanding floors with a power sander
013341634.jpg,home repair,sanding floors with a power sander
069164340.jpg,home repair,sanding floors with a power sander
079501154.jpg,home repair,sanding floors with a power sander
016335445.jpg,home repair,sanding floors with a power sander
010431309.jpg,home repair,sanding floors with a power sander
014551548.jpg,home repair,sanding floors with a power sander
087712756.jpg,home activities,mopping standing light effort
052818926.jpg,home repair,sanding floors with a power sander
046726100.jpg,home repair,sanding floors with a power sander
010671182.jpg,,
064955601.jpg,,
086799959.jpg,,
082818587.jpg,,
062605471.jpg,,
007527872.jpg,,
011239703.jpg,,
004930899.jpg,,
025747922.jpg,,
013566147.jpg,home repair,sanding floors with a power sander
026004804.jpg,home repair,sanding floors with a power sander
038505806.jpg,,
094298278.jpg,,
061037606.jpg,,
083497379.jpg,,
071035150.jpg,,
011250313.jpg,,
073592041.jpg,,
027509888.jpg,,
063910785.jpg,home activities,mopping standing light effort
034096197.jpg,home repair,sanding floors with a power sander
099767226.jpg,home repair,sanding floors with a power sander
026355148.jpg,home repair,sanding floors with a power sander
027913047.jpg,home repair,sanding floors with a power sander
093067226.jpg,home repair,sanding floors with a power sander
002464440.jpg,home repair,sanding floors with a power sander
069668899.jpg,home repair,sanding floors with a power sander
072532639.jpg,,
083637858.jpg,,
097443931.jpg,,
097560192.jpg,,
006527676.jpg,,
082183932.jpg,,
064630993.jpg,,
064734213.jpg,sports,skateboarding
012834993.jpg,sports,skateboarding
065018717.jpg,sports,skateboarding
098248258.jpg,occupation,manual or unskilled labor
091181857.jpg,sports,skateboarding
043913066.jpg,sports,skateboarding
003994797.jpg,,
036229349.jpg,occupation,manual or unskilled labor
082639031.jpg,occupation,manual or unskilled labor
070149910.jpg,occupation,manual or unskilled labor
045934366.jpg,occupation,manual or unskilled labor
005510154.jpg,occupation,manual or unskilled labor
042689473.jpg,occupation,manual or unskilled labor
046902494.jpg,occupation,manual or unskilled labor
092855553.jpg,occupation,manual or unskilled labor
064108610.jpg,,
031165292.jpg,,
052531826.jpg,,
006605531.jpg,occupation,manual or unskilled labor
097256824.jpg,occupation,manual or unskilled labor
036005990.jpg,occupation,manual or unskilled labor
047786735.jpg,occupation,carpentry general
035528397.jpg,occupation,carpentry general
068251173.jpg,occupation,carpentry general
066223216.jpg,occupation,carpentry general
071532231.jpg,occupation,carpentry general
026814323.jpg,occupation,carpentry general
031566848.jpg,occupation,carpentry general
012525123.jpg,occupation,carpentry general
065550997.jpg,occupation,carpentry general
003979713.jpg,miscellaneous,copying documents standing
059768234.jpg,miscellaneous,copying documents standing
086969588.jpg,miscellaneous,copying documents standing
089083215.jpg,miscellaneous,copying documents standing
044903776.jpg,miscellaneous,copying documents standing
045930369.jpg,miscellaneous,copying documents standing
007696918.jpg,miscellaneous,copying documents standing
067076503.jpg,miscellaneous,copying documents standing
082125942.jpg,miscellaneous,copying documents standing
024465505.jpg,miscellaneous,copying documents standing
042130088.jpg,,
083883934.jpg,,
087712047.jpg,,
024317998.jpg,,
055057063.jpg,,
019249315.jpg,,
010187876.jpg,miscellaneous,copying documents standing
091112050.jpg,miscellaneous,copying documents standing
082050750.jpg,miscellaneous,copying documents standing
076003490.jpg,miscellaneous,copying documents standing
004876632.jpg,miscellaneous,copying documents standing
084372879.jpg,miscellaneous,copying documents standing
043804408.jpg,miscellaneous,copying documents standing
034239512.jpg,miscellaneous,copying documents standing
054647636.jpg,miscellaneous,copying documents standing
009135324.jpg,,
075664655.jpg,,
058243508.jpg,,
018659010.jpg,,
018823220.jpg,,
018424865.jpg,miscellaneous,copying documents standing
005700239.jpg,miscellaneous,copying documents standing
058779845.jpg,miscellaneous,copying documents standing
084034818.jpg,miscellaneous,copying documents standing
001749821.jpg,miscellaneous,copying documents standing
004900464.jpg,miscellaneous,copying documents standing
057277028.jpg,running,jogging
081949569.jpg,dancing,ballroom
032673889.jpg,dancing,ballroom
034961440.jpg,dancing,ballroom
059634650.jpg,dancing,ballroom
027421289.jpg,dancing,ballroom
002660837.jpg,dancing,ballroom
073522852.jpg,dancing,ballroom
062564991.jpg,dancing,ballroom
058075600.jpg,dancing,ethnic or cultural dancing (e.g. Greek Middle Eastern hula salsa merengue bamba y plena flame
074168413.jpg,dancing,ethnic or cultural dancing (e.g. Greek Middle Eastern hula salsa merengue bamba y plena flame
067523084.jpg,dancing,ethnic or cultural dancing (e.g. Greek Middle Eastern hula salsa merengue bamba y plena flame
020588199.jpg,dancing,ethnic or cultural dancing (e.g. Greek Middle Eastern hula salsa merengue bamba y plena flame
035248105.jpg,dancing,ethnic or cultural dancing (e.g. Greek Middle Eastern hula salsa merengue bamba y plena flame
012611014.jpg,dancing,ethnic or cultural dancing (e.g. Greek Middle Eastern hula salsa merengue bamba y plena flame
012985701.jpg,dancing,ethnic or cultural dancing (e.g. Greek Middle Eastern hula salsa merengue bamba y plena flame
067619575.jpg,dancing,ethnic or cultural dancing (e.g. Greek Middle Eastern hula salsa merengue bamba y plena flame
085860011.jpg,dancing,ethnic or cultural dancing (e.g. Greek Middle Eastern hula salsa merengue bamba y plena flame
096273258.jpg,dancing,ballroom
062834712.jpg,dancing,ballroom
018410132.jpg,dancing,ballroom
010565035.jpg,dancing,ballroom
081285097.jpg,dancing,ballroom
057875648.jpg,dancing,ballroom
061828502.jpg,dancing,ballroom
078146209.jpg,dancing,ballroom
070327723.jpg,dancing,ballroom
083445825.jpg,dancing,ballroom
005621391.jpg,dancing,ballroom
074752064.jpg,dancing,ballroom
085085276.jpg,dancing,ballroom
028613504.jpg,dancing,ballroom
064044727.jpg,dancing,ballroom
031416206.jpg,dancing,ballroom
095797107.jpg,dancing,ballroom
003342357.jpg,dancing,ballroom
057979284.jpg,dancing,ballroom
016650355.jpg,dancing,ballroom
071222021.jpg,dancing,ballroom
017589028.jpg,dancing,ballroom
023538326.jpg,dancing,ballroom
049437081.jpg,dancing,ballroom
091483495.jpg,dancing,ballroom
021171437.jpg,dancing,ballroom
014424002.jpg,dancing,ballroom
075897683.jpg,dancing,ballroom
050061953.jpg,dancing,ethnic or cultural dancing (e.g. Greek Middle Eastern hula salsa merengue bamba y plena flame
091178511.jpg,dancing,ethnic or cultural dancing (e.g. Greek Middle Eastern hula salsa merengue bamba y plena flame
014661456.jpg,dancing,ethnic or cultural dancing (e.g. Greek Middle Eastern hula salsa merengue bamba y plena flame
064592789.jpg,dancing,ethnic or cultural dancing (e.g. Greek Middle Eastern hula salsa merengue bamba y plena flame
023287915.jpg,dancing,ethnic or cultural dancing (e.g. Greek Middle Eastern hula salsa merengue bamba y plena flame
015676043.jpg,dancing,ethnic or cultural dancing (e.g. Greek Middle Eastern hula salsa merengue bamba y plena flame
068342942.jpg,dancing,ethnic or cultural dancing (e.g. Greek Middle Eastern hula salsa merengue bamba y plena flame
059368462.jpg,dancing,ethnic or cultural dancing (e.g. Greek Middle Eastern hula salsa merengue bamba y plena flame
075482746.jpg,dancing,ethnic or cultural dancing (e.g. Greek Middle Eastern hula salsa merengue bamba y plena flame
030946258.jpg,dancing,ethnic or cultural dancing (e.g. Greek Middle Eastern hula salsa merengue bamba y plena flame
044797166.jpg,dancing,ethnic or cultural dancing (e.g. Greek Middle Eastern hula salsa merengue bamba y plena flame
040547168.jpg,dancing,ethnic or cultural dancing (e.g. Greek Middle Eastern hula salsa merengue bamba y plena flame
098408946.jpg,dancing,ethnic or cultural dancing (e.g. Greek Middle Eastern hula salsa merengue bamba y plena flame
029224896.jpg,dancing,ethnic or cultural dancing (e.g. Greek Middle Eastern hula salsa merengue bamba y plena flame
029481724.jpg,dancing,ethnic or cultural dancing (e.g. Greek Middle Eastern hula salsa merengue bamba y plena flame
035454821.jpg,dancing,ethnic or cultural dancing (e.g. Greek Middle Eastern hula salsa merengue bamba y plena flame
056459408.jpg,dancing,ethnic or cultural dancing (e.g. Greek Middle Eastern hula salsa merengue bamba y plena flame
025232274.jpg,dancing,ethnic or cultural dancing (e.g. Greek Middle Eastern hula salsa merengue bamba y plena flame
091528994.jpg,dancing,ethnic or cultural dancing (e.g. Greek Middle Eastern hula salsa merengue bamba y plena flame
026568556.jpg,dancing,ethnic or cultural dancing (e.g. Greek Middle Eastern hula salsa merengue bamba y plena flame
089581573.jpg,dancing,ethnic or cultural dancing (e.g. Greek Middle Eastern hula salsa merengue bamba y plena flame
010347506.jpg,dancing,ethnic or cultural dancing (e.g. Greek Middle Eastern hula salsa merengue bamba y plena flame
065656270.jpg,dancing,ballroom
090698552.jpg,dancing,ballroom
016874944.jpg,dancing,ballroom
096832696.jpg,dancing,ballroom
045288336.jpg,dancing,ballroom
094571511.jpg,dancing,ballroom
067682004.jpg,dancing,ballroom
030158687.jpg,,
